Layer,Channel_Index,L1_Score,GRA_Score
layer2.2.conv1,27,0.7265367,0.6283711061566103
layer2.2.conv1,28,0.51838994,0.0
layer2.2.conv1,29,0.37778988,0.79065901790348
layer2.2.conv1,30,0.57294184,0.7778173317421597
layer2.2.conv1,31,0.5596985,0.6733477932374601
layer2.2.conv2,0,0.28265458,0.8413609483501105
layer2.2.conv2,1,0.64281106,0.3720369800194156
layer2.2.conv2,2,0.9422363,0.6218849800621709
layer2.2.conv2,3,0.40223074,0.7570219361749556
layer2.2.conv2,4,0.50860435,0.34803732568084617
layer2.2.conv2,5,0.51937646,0.8787636555902031
layer2.2.conv2,6,0.23077442,0.9343642226435864
layer2.2.conv2,7,0.5807509,0.8162704993219596
layer2.2.conv2,8,0.503357,0.768463121876029
layer2.2.conv2,9,0.0,0.7491453737249871
layer2.2.conv2,10,0.7650703,0.8126429122054131
layer2.2.conv2,11,0.6973912,0.9361081045995417
layer2.2.conv2,12,0.21210602,0.6020214003327833
layer2.2.conv2,13,0.6840841,0.7893514927946731
layer2.2.conv2,14,0.5452157,0.9230033701501453
layer2.2.conv2,15,0.5140697,0.9999999271476986
layer2.2.conv2,16,0.9839746,0.8260490047418196
layer2.2.conv2,17,0.3355079,0.7858689396854197
layer2.2.conv2,18,0.14964646,0.8463589765655104
layer2.2.conv2,19,0.46964526,0.4790338648489014
layer2.2.conv2,20,0.80388373,0.8348274702850449
layer2.2.conv2,21,0.5458792,0.7105945529660833
layer2.2.conv2,22,1.0,0.8444913380464457
layer2.2.conv2,23,0.6196505,0.6860998723750764
layer2.2.conv2,24,0.20369741,0.8679620959153055
layer2.2.conv2,25,0.4476412,0.7376325394873766
layer2.2.conv2,26,0.7554963,0.7014639240099397
layer2.2.conv2,27,0.49122572,0.0
layer2.2.conv2,28,0.17739685,0.48940119096902923
layer2.2.conv2,29,0.5684863,0.7570714388001993
layer2.2.conv2,30,0.4976667,0.8794818778897923
layer2.2.conv2,31,0.4236189,0.7992780718567096
layer3.0.conv1,0,0.581916,0.9999999449833216
layer3.0.conv1,1,0.33659902,0.6730017029436024
layer3.0.conv1,2,0.10810541,0.6766915145706914
layer3.0.conv1,3,0.50094086,0.6383724994569127
layer3.0.conv1,4,0.35933933,0.39752211142590854
layer3.0.conv1,5,0.29918745,0.7769519470706441
layer3.0.conv1,6,0.72910297,0.6815225050515195
layer3.0.conv1,7,0.71810794,0.8208945472886667
layer3.0.conv1,8,0.7858118,0.6647740657481114
layer3.0.conv1,9,0.49939027,0.6957049315588049
