architecture,dataset,method,role,nominal_ratio,actual_ratio,seed,baseline_acc,pruned_acc,final_acc,flops_before,flops_after,flops_reduction_pct,params_before,params_after,iso_flops_target,iso_flops_actual,iso_flops_ratio,iso_flops_error_pct,score_time_s,total_time_s,epochs,timestamp
resnet56,cifar100,L1,matched,0.9,0.9008,1024,72.56,1.01,50.26,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,0.01,444.2,30,2026-03-02T06:22:17.881683
vgg16,cifar100,CHIP,reference,0.7,0.7,42,73.58,1.0,62.36,626495488,56945648,90.91,14774436,1349561,56945648,56945648,1.0,0.0,39.32,235.7,30,2026-03-02T16:21:09.284175
vgg16,cifar100,CHIP,reference,0.7,0.7,123,73.58,1.0,62.41,626495488,56945648,90.91,14774436,1349561,56945648,56945648,1.0,0.0,86.91,357.8,30,2026-03-02T14:09:49.585432
vgg16,cifar100,CHIP,reference,0.7,0.7,456,73.58,1.0,62.21,626495488,56945648,90.91,14774436,1349561,56945648,56945648,1.0,0.0,37.46,233.8,30,2026-03-02T16:37:31.659013
vgg16,cifar100,CHIP,reference,0.7,0.7,789,73.58,1.0,62.9,626495488,56945648,90.91,14774436,1349561,56945648,56945648,1.0,0.0,37.7,232.9,30,2026-03-02T16:53:54.172113
vgg16,cifar100,CHIP,reference,0.7,0.7,1024,73.58,1.0,62.78,626495488,56945648,90.91,14774436,1349561,56945648,56945648,1.0,0.0,36.68,232.2,30,2026-03-02T17:10:14.508961
vgg16,cifar100,GRA-CNN,matched,0.7,0.7039,42,73.58,1.0,62.49,626495488,55976128,91.07,14774436,1315926,56945648,55976128,0.983,1.7,49.95,247.0,30,2026-03-02T16:25:16.297524
vgg16,cifar100,GRA-CNN,matched,0.7,0.7039,123,73.58,1.0,62.06,626495488,55976128,91.07,14774436,1315926,56945648,55976128,0.983,1.7,101.94,326.1,30,2026-03-02T14:15:15.697774
vgg16,cifar100,GRA-CNN,matched,0.7,0.7039,456,73.58,1.0,62.33,626495488,55976128,91.07,14774436,1315926,56945648,55976128,0.983,1.7,50.56,248.3,30,2026-03-02T16:41:39.994932
vgg16,cifar100,GRA-CNN,matched,0.7,0.7039,789,73.58,1.0,62.26,626495488,55976128,91.07,14774436,1315926,56945648,55976128,0.983,1.7,49.95,246.0,30,2026-03-02T16:58:00.216638
vgg16,cifar100,GRA-CNN,matched,0.7,0.7039,1024,73.58,1.0,61.6,626495488,55976128,91.07,14774436,1315926,56945648,55976128,0.983,1.7,49.85,245.8,30,2026-03-02T17:14:20.356699
vgg16,cifar100,L1,matched,0.7,0.7039,42,73.58,1.04,58.8,626495488,56048128,91.05,14774436,1315926,57017248,56048128,0.983,1.7,0.0,378.4,30,2026-03-02T02:48:18.406642
vgg16,cifar100,L1,matched,0.7,0.7039,123,73.58,1.04,57.7,626495488,56048128,91.05,14774436,1315926,57017248,56048128,0.983,1.7,0.0,375.2,30,2026-03-02T03:45:07.781002
vgg16,cifar100,L1,matched,0.7,0.7039,456,73.58,1.04,57.08,626495488,56048128,91.05,14774436,1315926,57017248,56048128,0.983,1.7,0.0,376.8,30,2026-03-02T04:41:57.352733
vgg16,cifar100,L1,matched,0.7,0.7039,789,73.58,1.04,57.69,626495488,56048128,91.05,14774436,1315926,57017248,56048128,0.983,1.7,0.0,377.6,30,2026-03-02T05:38:56.818865
vgg16,cifar100,L1,matched,0.7,0.7039,1024,73.58,1.04,56.93,626495488,56048128,91.05,14774436,1315926,57017248,56048128,0.983,1.7,0.0,378.6,30,2026-03-02T06:35:56.415844
vgg16,cifar100,CHIP,reference,0.9,0.9,42,73.58,1.0,35.17,626495488,6532464,98.96,14774436,153364,6532464,6532464,1.0,0.0,36.96,241.9,30,2026-03-02T16:29:20.652440
vgg16,cifar100,CHIP,reference,0.9,0.9,123,73.58,1.0,33.43,626495488,6532464,98.96,14774436,153364,6532464,6532464,1.0,0.0,83.71,294.9,30,2026-03-02T14:20:13.480504
vgg16,cifar100,CHIP,reference,0.9,0.9,456,73.58,1.0,33.33,626495488,6532464,98.96,14774436,153364,6532464,6532464,1.0,0.0,37.33,241.1,30,2026-03-02T16:45:43.585789
vgg16,cifar100,CHIP,reference,0.9,0.9,789,73.58,1.0,33.74,626495488,6532464,98.96,14774436,153364,6532464,6532464,1.0,0.0,37.26,241.0,30,2026-03-02T17:02:03.731586
vgg16,cifar100,CHIP,reference,0.9,0.9,1024,73.58,1.0,34.54,626495488,6532464,98.96,14774436,153364,6532464,6532464,1.0,0.0,36.68,238.9,30,2026-03-02T17:18:21.764791
vgg16,cifar100,GRA-CNN,matched,0.9,0.899,42,73.58,1.0,35.6,626495488,6621728,98.94,14774436,158351,6532464,6621728,1.0137,1.37,48.2,250.6,30,2026-03-02T16:33:31.298234
vgg16,cifar100,GRA-CNN,matched,0.9,0.899,123,73.58,1.0,33.17,626495488,6621728,98.94,14774436,158351,6532464,6621728,1.0137,1.37,53.29,263.7,30,2026-03-02T14:24:37.213435
vgg16,cifar100,GRA-CNN,matched,0.9,0.899,456,73.58,1.0,35.0,626495488,6621728,98.94,14774436,158351,6532464,6621728,1.0137,1.37,49.05,251.4,30,2026-03-02T16:49:54.964180
vgg16,cifar100,GRA-CNN,matched,0.9,0.899,789,73.58,1.0,32.84,626495488,6621728,98.94,14774436,158351,6532464,6621728,1.0137,1.37,49.54,251.5,30,2026-03-02T17:06:15.271999
vgg16,cifar100,GRA-CNN,matched,0.9,0.899,1024,73.58,1.0,34.32,626495488,6621728,98.94,14774436,158351,6532464,6621728,1.0137,1.37,48.21,251.9,30,2026-03-02T17:22:33.623127
vgg16,cifar100,L1,matched,0.9,0.899,42,73.58,1.0,35.43,626495488,6713728,98.93,14774436,158351,6624664,6713728,1.0134,1.34,0.0,378.5,30,2026-03-02T03:01:51.594714
vgg16,cifar100,L1,matched,0.9,0.899,123,73.58,1.0,31.28,626495488,6713728,98.93,14774436,158351,6624664,6713728,1.0134,1.34,0.0,374.0,30,2026-03-02T03:58:41.711611
vgg16,cifar100,L1,matched,0.9,0.899,456,73.58,1.0,20.98,626495488,6713728,98.93,14774436,158351,6624664,6713728,1.0134,1.34,0.0,376.0,30,2026-03-02T04:55:35.719726
vgg16,cifar100,L1,matched,0.9,0.899,789,73.58,1.0,30.34,626495488,6713728,98.93,14774436,158351,6624664,6713728,1.0134,1.34,0.0,376.2,30,2026-03-02T05:52:30.492500
vgg16,cifar100,L1,matched,0.9,0.899,1024,73.58,1.0,34.13,626495488,6713728,98.93,14774436,158351,6624664,6713728,1.0134,1.34,0.0,376.9,30,2026-03-02T06:49:29.074839
